ref,query,RMSD
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/farfar2/Mol9.out.1.pdb,14.822000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/farfar2/Mol9.out.10.pdb,10.515000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/farfar2/Mol9.out.2.pdb,6.499000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/farfar2/Mol9.out.3.pdb,8.741000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/farfar2/Mol9.out.4.pdb,14.146000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/farfar2/Mol9.out.5.pdb,12.387000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/farfar2/Mol9.out.6.pdb,16.560000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/farfar2/Mol9.out.7.pdb,16.199000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/farfar2/Mol9.out.8.pdb,10.355000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/farfar2/Mol9.out.9.pdb,20.930000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/farfar2/Mol9.out.rms.1.pdb,5.236000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/farfar2/Mol9.out.rms.2.pdb,5.153000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/farfar2/Mol9.out.rms.3.pdb,5.428000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/farfar2/Mol9.out.rms.4.pdb,5.319000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/farfar2/Mol9.out.rms.5.pdb,5.653000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS017_1.pdb,17.872000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS017_2.pdb,21.841000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS017_3.pdb,20.352000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS017_4.pdb,20.407000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS017_5.pdb,20.502000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS031_1.pdb,17.127000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS031_2.pdb,29.983000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS031_3.pdb,29.259000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS031_4.pdb,15.174000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS031_5.pdb,12.494000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS032_1.pdb,23.504000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS032_2.pdb,38.793000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS032_3.pdb,23.531000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS032_4.pdb,14.979000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS032_5.pdb,18.180000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS033_1.pdb,17.952000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS033_2.pdb,18.268000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS033_3.pdb,18.215000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS033_4.pdb,18.283000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS033_5.pdb,17.998000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS034_1.pdb,17.216000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS034_2.pdb,16.591000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS034_3.pdb,19.074000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS034_4.pdb,16.598000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS034_5.pdb,17.813000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS073_1.pdb,17.665000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS073_2.pdb,17.870000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS078_1.pdb,14.762000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS078_2.pdb,14.918000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS078_3.pdb,14.827000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS078_4.pdb,12.676000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS078_5.pdb,15.091000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS161_1.pdb,15.013000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS161_2.pdb,17.304000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS161_3.pdb,17.441000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS161_4.pdb,16.144000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS161_5.pdb,18.169000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS170_1.pdb,18.488000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS170_2.pdb,17.142000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS170_3.pdb,23.533000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS170_4.pdb,16.128000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS170_5.pdb,13.797000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS177_1.pdb,18.104000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS177_2.pdb,15.676000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS177_3.pdb,17.501000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS177_4.pdb,14.522000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS177_5.pdb,17.773000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS272_1.pdb,14.649000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS272_2.pdb,15.000000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS272_3.pdb,14.926000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS272_4.pdb,17.102000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS272_5.pdb,17.843000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS278_1.pdb,19.172000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS278_2.pdb,14.338000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS278_3.pdb,16.368000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS278_4.pdb,16.646000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS278_5.pdb,17.027000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS315_1.pdb,12.753000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS315_2.pdb,18.223000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS315_3.pdb,18.476000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS315_4.pdb,17.675000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS315_5.pdb,14.185000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS355_1.pdb,14.920000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS355_2.pdb,20.191000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS355_3.pdb,20.660000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS355_4.pdb,19.020000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS355_5.pdb,16.363000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS357_1.pdb,25.029000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS357_2.pdb,24.231000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS357_3.pdb,17.457000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS357_4.pdb,18.887000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS357_5.pdb,16.096000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS403_1.pdb,12.676000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS403_2.pdb,14.804000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS403_3.pdb,10.684000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS403_4.pdb,14.570000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS403_5.pdb,15.091000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS419_1.pdb,19.997000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS419_2.pdb,14.148000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS419_3.pdb,18.561000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS419_4.pdb,15.489000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS419_5.pdb,17.370000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS439_1.pdb,13.358000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS439_2.pdb,13.054000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS439_3.pdb,18.250000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS439_4.pdb,16.750000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS439_5.pdb,12.769000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS468_1.pdb,13.540000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS468_2.pdb,18.040000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS468_3.pdb,17.519000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS468_4.pdb,16.645000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS468_5.pdb,12.823000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS488_1.pdb,18.251000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS488_2.pdb,15.123000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS488_3.pdb,16.235000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS488_4.pdb,14.804000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS488_5.pdb,23.586000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS494_1.pdb,18.564000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS494_2.pdb,18.038000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS494_3.pdb,18.258000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS494_4.pdb,25.836000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS494_5.pdb,18.133000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS521_1.pdb,15.638000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS521_2.pdb,15.190000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS521_3.pdb,15.921000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS521_4.pdb,18.229000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS521_5.pdb,18.006000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS522_1.pdb,14.953000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS522_2.pdb,14.788000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS522_3.pdb,14.945000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS522_4.pdb,14.758000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS522_5.pdb,15.355000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS531_1.pdb,14.541000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS531_2.pdb,14.970000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS531_3.pdb,15.349000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS531_4.pdb,15.879000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS531_5.pdb,14.746000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS552_1.pdb,16.337000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS552_2.pdb,14.519000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS552_3.pdb,14.638000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS552_4.pdb,18.190000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS552_5.pdb,16.712000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS575_1.pdb,15.093000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS575_2.pdb,15.093000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS575_3.pdb,15.093000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS575_4.pdb,14.032000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS575_5.pdb,15.477000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS581_1.pdb,17.977000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS581_2.pdb,19.491000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS581_3.pdb,16.452000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS581_4.pdb,15.646000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS581_5.pdb,25.909000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS585_1.pdb,14.379000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS585_2.pdb,15.052000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS585_3.pdb,14.649000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS585_4.pdb,15.013000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS585_5.pdb,14.876000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS591_1.pdb,14.564000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS591_2.pdb,14.935000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS591_3.pdb,14.760000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS591_4.pdb,14.809000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS591_5.pdb,14.512000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS597_1.pdb,17.229000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS597_2.pdb,18.235000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS597_3.pdb,16.877000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS597_4.pdb,5.628000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS597_5.pdb,18.664000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS625_1.pdb,16.888000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS625_2.pdb,16.805000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS625_3.pdb,16.246000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS625_4.pdb,14.450000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS625_5.pdb,27.821000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS697_1.pdb,14.788000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS697_2.pdb,14.945000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS697_3.pdb,14.758000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS697_4.pdb,15.355000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS697_5.pdb,14.585000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS702_1.pdb,27.254000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS702_2.pdb,28.889000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS702_3.pdb,27.871000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS702_4.pdb,38.789000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS702_5.pdb,23.532000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS738_1.pdb,17.962000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS738_2.pdb,17.650000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS738_3.pdb,17.573000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS738_4.pdb,17.991000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS738_5.pdb,18.037000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS755_1.pdb,14.762000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS755_2.pdb,14.918000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS755_3.pdb,14.827000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS755_4.pdb,12.676000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS755_5.pdb,15.091000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS770_1.pdb,17.612000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS770_2.pdb,17.844000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS770_3.pdb,17.200000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS770_4.pdb,16.099000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS770_5.pdb,16.670000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS802_1.pdb,18.121000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS802_2.pdb,18.119000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS802_3.pdb,16.760000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS802_4.pdb,17.172000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS802_5.pdb,16.401000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS841_1.pdb,4.694000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS841_2.pdb,5.561000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS841_3.pdb,5.244000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS841_4.pdb,4.601000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS841_5.pdb,4.980000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS859_1.pdb,18.364000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS859_2.pdb,18.251000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS859_3.pdb,15.123000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS859_4.pdb,15.103000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS859_5.pdb,16.187000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS872_1.pdb,12.008000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS872_2.pdb,12.817000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS872_3.pdb,11.999000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS872_4.pdb,11.771000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS872_5.pdb,12.008000
